01	0.000	0.000
02	0.150	0.000
03	0.075	-0.130
04	-0.075	-0.130
05	-0.150	0.000
06	-0.075	0.130
07	0.075	0.130
08	0.300	0.000
09	0.225	-0.130
10	0.150	-0.260
11	0.000	-0.260
12	-0.150	-0.260
13	-0.225	-0.130
14	-0.300	0.000
15	-0.225	0.130
16	-0.150	0.260
17	0.000	0.260
18	0.150	0.260
19	0.225	0.130
20	0.450	0.000
21	0.375	-0.130
22	0.300	-0.260
23	0.225	-0.390
24	0.075	-0.390
25	-0.075	-0.390
26	-0.225	-0.390
27	-0.300	-0.260
28	-0.375	-0.130
29	-0.450	0.000
30	-0.375	0.130
31	-0.300	0.260
32	-0.225	0.390
33	-0.075	0.390
34	0.075	0.390
35	0.225	0.390
36	0.300	0.260
37	0.375	0.130
38	0.600	0.000
39	0.525	-0.130
40	0.450	-0.260
41	0.375	-0.390
42	0.300	-0.520
43	0.150	-0.520
44	0.000	-0.520
45	-0.150	-0.520
46	-0.300	-0.520
47	-0.375	-0.390
48	-0.450	-0.260
49	-0.525	-0.130
50	-0.600	0.000
51	-0.525	0.130
52	-0.450	0.260
53	-0.375	0.390
54	-0.300	0.520
55	-0.150	0.520
56	0.000	0.520
57	0.150	0.520
58	0.300	0.520
59	0.375	0.390
60	0.450	0.260
61	0.525	0.130
62	0.750	0.000
63	0.675	-0.130
64	0.600	-0.260
65	0.525	-0.390
66	0.450	-0.520
67	0.375	-0.650
68	0.225	-0.650
69	0.075	-0.650
70	-0.075	-0.650
71	-0.225	-0.650
72	-0.375	-0.650
73	-0.450	-0.520
74	-0.525	-0.390
75	-0.600	-0.260
76	-0.675	-0.130
77	-0.750	0.000
78	-0.675	0.130
79	-0.600	0.260
80	-0.525	0.390
81	-0.450	0.520
82	-0.375	0.650
83	-0.225	0.650
84	-0.075	0.650
85	0.075	0.650
86	0.225	0.650
87	0.375	0.650
88	0.450	0.520
89	0.525	0.390
90	0.600	0.260
91	0.675	0.130
92	0.900	0.000
93	0.825	-0.130
94	0.750	-0.260
95	0.675	-0.390
96	0.600	-0.520
97	0.525	-0.650
98	0.450	-0.779
99	0.300	-0.779
100	0.150	-0.779
101	0.000	-0.779
102	-0.150	-0.779
103	-0.300	-0.779
104	-0.450	-0.779
105	-0.525	-0.650
106	-0.600	-0.520
107	-0.675	-0.390
108	-0.750	-0.260
109	-0.825	-0.130
110	-0.900	0.000
111	-0.825	0.130
112	-0.750	0.260
113	-0.675	0.390
114	-0.600	0.520
115	-0.525	0.650
116	-0.450	0.779
117	-0.300	0.779
118	-0.150	0.779
119	0.000	0.779
120	0.150	0.779
121	0.300	0.779
122	0.450	0.779
123	0.525	0.650
124	0.600	0.520
125	0.675	0.390
126	0.750	0.260
127	0.825	0.130
128	1.050	0.000
129	0.975	-0.130
